SO FAMCHA010501043000043011000011Sign On (oct 1)                                                                                                         02                                     
PROFAMCHA010501043011043019000008CC Is Brought To You By - Ian (PRESCHOOL)                                                                               02  150                                
PGRFAMCHA010501043019045419002400Hello Mrs. Cherrywinkle                           Hickory Dickory Docker                                        B18891A1025607ACC                              
PROFAMCHA010501045419045427000008CC Was Brought To You By - Ian (PRESCHOOL)                                                                              02  150                                
ID FAMCHA010501045427045432000005Generic ID - Couch 1                                                                                                    02  150                                
PRCFAMCHA010501045432045440000008Franklin Bumper - Slide - This Morning @ 7am                                                                           102  150                                
ID FAMCHA010501045440045500000020Morning block open play pen                                                                                             02  150                                
PROFAMCHA010501045500045508000008CC Is Brought To You By - Lark (PRESCHOOL)                                                                              02  150                                
PGRFAMCHA010501045508051918002410Busy World Of Richard Scarry; The                 Who's Afraid Of/Hold Your Breath/Pumpkin Heads                P24323 1025607ECC                              
PROFAMCHA010501051918051925000007CC Was Brought To You By - Lark (PRESCHOOL)                                                                             02  150                                
ID FAMCHA010501051925051940000015Generic ID - confetti                                                                                                   02  150                                
ID FAMCHA010501051940052000000020Morning block open play pen                                                                                             06  150                                
PROFAMCHA010501052000052008000008CC Is Brought To You By - Ian (PRESCHOOL)                                                                               06  150                                
PGRFAMCHA010501052008054426002418Billy The Cat                                     The Great Purple Nothing                                      B27654A1025607ECC                              
PROFAMCHA010501054426054435000009CC Was Brought To You By - Ian (PRESCHOOL)                                                                              06  150                                
ID FAMCHA010501054435054440000005Generic ID - Marbles                                                                                                    02  150                                
ID FAMCHA010501054440054500000020Morning block open play pen                                                                                             06  150                                
PROFAMCHA010501054500054508000008CC Is Brought To You By - Lark (PRESCHOOL)                                                                              06  150                                
PGRFAMCHA010501054508061127002619Little Lulu Show; The                             Gilbert The Gorilla/Snow Business/The case of the             P22333A1025607ECC                              
PROFAMCHA010501061127061135000008CC Was Brought To You By - Lark (PRESCHOOL)                                                                             06  150                                
ID FAMCHA010501061135061140000005Generic ID - Marbles                                                                                                    06  150                                
PROFAMCHA010501061140061148000008CC Is Brought To You By - Ian (PRESCHOOL)                                                                               06  150                                
PGRFAMCHA010501061148063548002400Big Garage; The                                   The Latest Style                                              P21474 1025607ECC                              
PROFAMCHA010501063548063556000008CC Was Brought To You By - Ian (PRESCHOOL)                                                                              06  150                                
ID FAMCHA010501063556063601000005Generic ID - soccer                                                                                                     02  150                                
PGRFAMCHA010501063601070008002407Clarissa                                          Alter Ego                                                            2028607B                                
ID FAMCHA010501070008070018000010Generic ID - Pink inner tube                                                                                            02  150                                
PROFAMCHA010501070018070026000008CC Is Brought To You By - Lark (PRESCHOOL)                                                                              06  150                                
PGRFAMCHA010501070026072319002253Franklin                                          Franklin Stays Up/Franklin's Bargain                                A1025607ECC                              
PROFAMCHA010501072319072327000008CC Was Brought To You By - Lark (PRESCHOOL)                                                                             06  150                                
ID FAMCHA010501072327072337000010Generic ID - Hula Hoop                                                                                                  02  150                                
PROFAMCHA010501072337072353000016ALF (Description) - Today @ 12pm                                                                                        02  150                                
PROFAMCHA010501072353072423000030New Adventures of WTP (MARCH2001) - Coming Up                                                                           02  150                                
PRCFAMCHA010501072423072430000007Book of Pooh Bumper - Gang - This Morning                                                                              102  150                                
INTFAMCHA010501072430072840000410MV Disney - Colours of the wind (oct 1)                                                                                60288120                                
PROFAMCHA010501072840072940000100Morning Crunch (MAY) - This Morning                                                                                     02  150                                
PRCFAMCHA010501072940072950000010Morning Block menu background (flex time)                                                                               02  150                                
ID FAMCHA010501072950073000000010Magic of Disney - V4 - KID MALE                                                                                         02  150                                
PROFAMCHA010501073000073008000008CC Is Brought To You By - Ian (PRESCHOOL)                                                                               06  150                                
PGRFAMCHA010501073008075253002245New Adventures of Winnie the Pooh; The            Honey For A Bunny/Trap As Trap Can                                  A6028607ECC                              
PROFAMCHA010501075253075301000008CC Was Brought To You By - Ian (PRESCHOOL)                                                                              06  150                                
ID FAMCHA010501075301075306000005Generic ID - Couch 2                                                                                                    02  150                                
PRCFAMCHA010501075306075313000007Book of Pooh Bumper - Gang - This Morning                                                                              106  150                                
PROFAMCHA010501075313075343000030New Adventures of WTP (MARCH2001) - Weekdays @ 7:3                                                                      02  150                                
PROFAMCHA010501075343075443000100Morning Crunch (MAY) - This Morning                                                                                     06  150                                
INTFAMCHA010501075443075839000356Art Attack - Parachutist                                                                                               60286120                                
PROFAMCHA010501075839075900000021Buzz Lightyear (DISNEY'S ONE TOO) - Today @ 5:30pm                                                                      02  150                                
PROFAMCHA010501075900075915000015Doug (MARCH2001) - Today @ 4pm                                                                                          02  150                                
PROFAMCHA010501075915075930000015ALF (Lucky) - Today @ Noon                                                                                              02  150                                
PRCFAMCHA010501075930075940000010Morning Block menu background (flex time)                                                                               06  150                                
ID FAMCHA010501075940080000000020Morning block open play pen                                                                                             06  150                                
PGRFAMCHA010501080000081429001429Art Attack                                        1-011                                                                60286110                                
ID FAMCHA010501081429081436000007Generic ID - Whisper                                                                                                    02  150                                
PROFAMCHA010501081436081536000100Morning Crunch (MAY) - This Morning                                                                                     06  150                                
PRCFAMCHA010501081536081611000035Little Lulu (MARCH2001) - Coming Up                                                                                    102  150                                
INTFAMCHA010501081611082110000459Art Attack - Bride & Groom                                                                                             60286120                                
PROFAMCHA010501082110082124000014ALF (Dreams) - Today @ 12pm                                                                                             02  150                                
PRCFAMCHA010501082124082131000007Book of Pooh Bumper - Gang - This Morning                                                                              106  150                                
PRCFAMCHA010501082131082140000009Morning Block menu background (flex time)                                                                               06  150                                
ID FAMCHA010501082140082200000020Morning block open play pen                                                                                             06  150                                
PROFAMCHA010501082200082208000008CC Is Brought To You By - Lark (PRESCHOOL)                                                                              06  150                                
PGRFAMCHA010501082208084828002620Little Lulu Show; The                             Business Girl/The Pet Duck/Lulu's Umbrella Service            P22334A1025607ECC                              
PROFAMCHA010501084828084836000008CC Was Brought To You By - Lark (PRESCHOOL)                                                                             06  150                                
ID FAMCHA010501084836084841000005Generic ID - Couch 1                                                                                                    06  150                                
PGRFAMCHA010501084841090311001430Elmo's World                                      Balls                                                               A2028607G                                
ID FAMCHA010501090311090316000005Generic ID - Marbles                                                                                                    06  150                                
PRCFAMCHA010501090316090324000008Franklin Bumper - Slide - Today                                                                                        102  150                                
PROFAMCHA010501090324090409000045PB&J Otter (MARCH2001) - Coming Up                                                                                     202  150                                
INTFAMCHA010501090409090708000259Music Break - Sebastian's Party Gras: Sing Along                                                                       60286120                                
PRCFAMCHA010501090708090715000007Book of Pooh Bumper - Gang - This Morning                                                                              106  150                                
PROFAMCHA010501090715090731000016ALF (Description) - Today @ 12pm                                                                                        06  150                                
PRCFAMCHA010501090731090740000009Morning Block menu background (flex time)                                                                               06  150                                
ID FAMCHA010501090740090800000020Morning block open play pen                                                                                             06  150                                
PROFAMCHA010501090800090808000008CC Is Brought To You By - Ian (PRESCHOOL)                                                                               06  150                                
PGRFAMCHA010501090808093138002330PB&J Otter                                        Butter Tags Along/Flick's Big Find                                  A6028607ECC                              
PROFAMCHA010501093138093147000009CC Was Brought To You By - Ian (PRESCHOOL)                                                                              06  150                                
ID FAMCHA010501093147093157000010Generic ID - soccer                                                                                                     02  150                                
PROFAMCHA010501093157093212000015ALF (Lucky) - Today @ Noon                                                                                              06  150                                
PRCFAMCHA010501093212093219000007Book of Pooh Bumper - Gang - Coming Up                                                                                 102  150                                
INTFAMCHA01050109321909331900010060 Seconds of Science - Time(13) (anywhere but D12                                                                     60288120                                
PROFAMCHA010501093319093340000021Buzz Lightyear (DISNEY'S ONE TOO) - Today @ 5:30pm                                                                      06  150                                
PRCFAMCHA010501093340093350000010Morning Block menu background (flex time)                                                                               06  150                                
ID FAMCHA010501093350093400000010Magic of Disney - V4 - KID FEMALE                                                                                       02  150                                
PGRFAMCHA010501093400095802002402Book Of Pooh; The                                 Mr. Narrator/Honey-Glazed Hamlet                                     6028607G                                
ID FAMCHA010501095802095807000005Generic ID - Marbles                                                                                                    06  150                                
PRCFAMCHA010501095807095815000008Franklin Bumper - Slide - Today                                                                                        106  150                                
PROFAMCHA010501095815095830000015Doug (MARCH2001) - Today @ 4pm                                                                                          06  150                                
PRCFAMCHA010501095830095840000010Morning Block menu background (flex time)                                                                               06  150                                
ID FAMCHA010501095840095900000020Morning block open play pen                                                                                             06  150                                
PROFAMCHA010501095900095908000008CC Is Brought To You By - Ian (PRESCHOOL)                                                                               06  150                                
PGRFAMCHA010501095908102318002410Busy World Of Richard Scarry; The                 The Mole Machine/Royal Game Of Dennis/Now That's              B24399 1125607ECC                              
PROFAMCHA010501102318102325000007CC Was Brought To You By - Ian (PRESCHOOL)                                                                              06  150                                
ID FAMCHA010501102325102340000015Generic ID - confetti                                                                                                   06  150                                
ID FAMCHA010501102340102400000020Morning block open play pen                                                                                             06  150                                
PGRFAMCHA010501102400104635002235Madeline                                          Madeline and the Mean, Nasty, Horrible Hats                          6028607E                                
ID FAMCHA010501104635104645000010Generic ID - Bubbles                                                                                                    02  150                                
PROFAMCHA010501104645104715000030Pepper Ann (MARCH2001) - Today @ 4:30pm                                                                                 02  150                                
PROFAMCHA010501104715104730000015Doug (MARCH2001) - Today @ 4pm                                                                                          02  150                                
PRCFAMCHA010501104730104740000010Morning Block menu background (flex time)                                                                               06  150                                
ID FAMCHA010501104740104800000020Morning block open play pen                                                                                             06  150                                
PROFAMCHA010501104800104808000008CC Is Brought To You By - Ian (PRESCHOOL)                                                                               06  150                                
PGRFAMCHA010501104808111138002330Out Of The Box                                    Whose Home?                                                          60286110CC                              
PROFAMCHA010501111138111146000008CC Was Brought To You By - Ian (PRESCHOOL)                                                                              06  150                                
ID FAMCHA010501111146111156000010Generic ID - soccer                                                                                                     06  150                                
PRCFAMCHA010501111156111232000036Goof Troop (MARCH2001) - Coming Up                                                                                      02  150                                
PRCFAMCHA010501111232111240000008Franklin Bumper - Slide - Today                                                                                        106  150                                
PRCFAMCHA010501111240111250000010Morning Block menu background (flex time)                                                                               06  150                                
ID FAMCHA010501111250111300000010Magic of Disney - V3(water) - KID MALE                                                                                  02  150                                
PROFAMCHA010501111300111308000008CC Is Brought To You By - Lark (PRESCHOOL)                                                                              06  150                                
PGRFAMCHA010501111308113548002240Goof Troop                                        The Incredible Bulk (goof Troop)                                    A6028607ECC                              
PROFAMCHA010501113548113556000008CC Was Brought To You By - Lark (PRESCHOOL)                                                                             06  150                                
ID FAMCHA010501113556113603000007Generic ID - Whisper                                                                                                    06  150                                
PROFAMCHA010501113603113633000030Pepper Ann (MARCH2001) - Today @ 4:30pm                                                                                 06  150                                
PRCFAMCHA010501113633113640000007Book of Pooh Bumper - Gang - This Afternoon                                                                            102  150                                
